ward_code,ward_name,borough_code,borough_name,candidate_name,party,party_long,number_votes,elected_flag,number_of_councillors_in_ward
E05000026,Abbey,E09000002,Barking and Dagenham,"Butt, Laila *",LAB,Labour Party,2169,Yes,3
E05000026,Abbey,E09000002,Barking and Dagenham,"Rodwell, Darren J.",LAB,Labour Party,2086,Yes,3
E05000026,Abbey,E09000002,Barking and Dagenham,"Miah, Giasuddin M. *",LAB,Labour Party,2043,Yes,3
E05000026,Abbey,E09000002,Barking and Dagenham,"Manish Wankhade, Archanna ",CON,Conservative Party,382,,3
E05000026,Abbey,E09000002,Barking and Dagenham,"Naqvi, Syed N.R.",CON,Conservative Party,362,,3
E05000026,Abbey,E09000002,Barking and Dagenham,"Panchardcharam, Kresan ",CON,Conservative Party,353,,3
E05000027,Alibon,E09000002,Barking and Dagenham,"Dulwich, John S.",LAB,Labour Party,1350,Yes,3
E05000027,Alibon,E09000002,Barking and Dagenham,"Robinson, Paul D.",LAB,Labour Party,1306,Yes,3
E05000027,Alibon,E09000002,Barking and Dagenham,"Alasia, Sanchia A. *",LAB,Labour Party,1281,Yes,3
E05000027,Alibon,E09000002,Barking and Dagenham,"Syers, Keith T.",CON,Conservative Party,480,,3
E05000027,Alibon,E09000002,Barking and Dagenham,"Saeed, Tariq ",CON,Conservative Party,386,,3
E05000027,Alibon,E09000002,Barking and Dagenham,"Tahir, Rumana ",CON,Conservative Party,377,,3
E05000028,Becontree,E09000002,Barking and Dagenham,"Carpenter, Evelyn *",LAB,Labour Party,2161,Yes,3
E05000028,Becontree,E09000002,Barking and Dagenham,"Fergus, Edna M.",LAB,Labour Party,2047,Yes,3
E05000028,Becontree,E09000002,Barking and Dagenham,"Saleem, Muhammad ",LAB,Labour Party,1854,Yes,3
E05000028,Becontree,E09000002,Barking and Dagenham,"Hall, Richard ",CON,Conservative Party,625,,3
E05000028,Becontree,E09000002,Barking and Dagenham,"Khalifa, Mahammad Sajid ",CON,Conservative Party,378,,3
E05000028,Becontree,E09000002,Barking and Dagenham,"Naqvi, Syed B.R.",CON,Conservative Party,364,,3
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,"Bright, Afolasade O. *",LAB,Labour Party,1528,Yes,3
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,"Perry, Simon J.S.",LAB,Labour Party,1510,Yes,3
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,"Khan, Mohammed S.",LAB,Labour Party,1447,Yes,3
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,"Justice, Terrence J.",CON,Conservative Party,746,,3
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,"Mohan, Monica ",CON,Conservative Party,653,,3
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,"Lewis, Glyn ",CON,Conservative Party,651,,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"McCarthy, Michael A. *",LAB,Labour Party,1586,Yes,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"Bright, Princess O.",LAB,Labour Party,1418,Yes,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"Ramsay, Anthony K. *",LAB,Labour Party,1391,Yes,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"Connolly, Susan M.",CON,Conservative Party,938,,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"Harris, Peter J.",CON,Conservative Party,868,,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"Mahdi, Dewan C.",CON,Conservative Party,728,,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"Emin, Niazi ",IND,Independent,372,,3
E05000030,Eastbrook,E09000002,Barking and Dagenham,"McKay, Anthony ",BNP,British National Party,158,,3
E05000031,Eastbury,E09000002,Barking and Dagenham,"Rodwell, Emily V.C.",LAB,Labour Party,1678,Yes,3
E05000031,Eastbury,E09000002,Barking and Dagenham,"Rahman, Foyzur ",LAB,Labour Party,1550,Yes,3
E05000031,Eastbury,E09000002,Barking and Dagenham,"Shaukat, Faraaz *",LAB,Labour Party,1474,Yes,3
E05000031,Eastbury,E09000002,Barking and Dagenham,"Perry, David ",CON,Conservative Party,564,,3
E05000031,Eastbury,E09000002,Barking and Dagenham,"Delos Santos, Alejandro ",CON,Conservative Party,488,,3
E05000031,Eastbury,E09000002,Barking and Dagenham,"Wankhade, Manish ",CON,Conservative Party,371,,3
E05000032,Gascoigne,E09000002,Barking and Dagenham,"Ashraf, Saima *",LAB,Labour Party,1560,Yes,3
E05000032,Gascoigne,E09000002,Barking and Dagenham,"Twomey, Dominic A. *",LAB,Labour Party,1538,Yes,3
E05000032,Gascoigne,E09000002,Barking and Dagenham,"Aziz, Abdul G. *",LAB,Labour Party,1525,Yes,3
E05000032,Gascoigne,E09000002,Barking and Dagenham,"Talbot-Wallis, Dean K.",CON,Conservative Party,345,,3
E05000032,Gascoigne,E09000002,Barking and Dagenham,"Talbot-Wallis, Kirsty A.",CON,Conservative Party,342,,3
E05000032,Gascoigne,E09000002,Barking and Dagenham,"Khan, Imran ",CON,Conservative Party,338,,3
E05000033,Goresbrook,E09000002,Barking and Dagenham,"Bremner, Simon J. *",LAB,Labour Party,1450,Yes,3
E05000033,Goresbrook,E09000002,Barking and Dagenham,"Freeborn, Irma L.M. *",LAB,Labour Party,1346,Yes,3
E05000033,Goresbrook,E09000002,Barking and Dagenham,"Quadri, Moin  A. *",LAB,Labour Party,1250,Yes,3
E05000033,Goresbrook,E09000002,Barking and Dagenham,"Williams, Paul M.D.",CON,Conservative Party,586,,3
E05000033,Goresbrook,E09000002,Barking and Dagenham,"Noman, Md Abu ",CON,Conservative Party,361,,3
E05000033,Goresbrook,E09000002,Barking and Dagenham,"Yasin, Nadia  ",CON,Conservative Party,358,,3
E05000033,Goresbrook,E09000002,Barking and Dagenham,"Smith, Bede ",BNP,British National Party,246,,3
E05000034,Heath,E09000002,Barking and Dagenham,"Miles, David S. *",LAB,Labour Party,1326,Yes,3
E05000034,Heath,E09000002,Barking and Dagenham,"Martins, Oluwale ",LAB,Labour Party,1253,Yes,3
E05000034,Heath,E09000002,Barking and Dagenham,"Robinson, Ingrid  ",LAB,Labour Party,1206,Yes,3
